epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,760.591,0.83407,0.62145,1.00874,0.9558,0.98121,0.995,0.6269,1.03882,0.60379,0.83739,0.000379743,0.000379743,0.000379743
80,770.245,0.72839,0.55503,0.8715,0.96377,0.98763,0.995,0.5941,1.11739,0.6156,0.86373,0.000363239,0.000363239,0.000363239
81,779.877,0.718,0.53339,0.87471,0.95545,0.98896,0.995,0.55368,1.2242,0.64425,0.90043,0.000346736,0.000346736,0.000346736
82,789.477,0.74801,0.55294,0.87996,0.94892,0.99039,0.995,0.50988,1.32694,0.67118,0.93903,0.000330233,0.000330233,0.000330233
83,799.08,0.71257,0.61823,0.88392,0.85346,0.89407,0.8954,0.48991,1.34172,0.67502,0.93953,0.000313729,0.000313729,0.000313729
84,808.685,0.66971,0.51208,0.84157,0.85337,0.89486,0.8954,0.49619,1.27984,0.66332,0.91298,0.000297226,0.000297226,0.000297226
85,818.216,0.73425,0.5595,0.88413,0.95331,0.9963,0.995,0.52647,1.20232,0.64042,0.88595,0.000280723,0.000280723,0.000280723
86,827.822,0.63382,0.51308,0.86679,0.96006,0.99349,0.995,0.56726,1.15114,0.62916,0.87194,0.00026422,0.00026422,0.00026422
87,837.553,0.63577,0.51611,0.86071,0.96769,0.99302,0.995,0.5714,1.10936,0.62661,0.86131,0.000247716,0.000247716,0.000247716
88,847.086,0.74151,0.52002,0.88755,0.97511,0.99716,0.995,0.52125,1.13233,0.63708,0.86918,0.000231213,0.000231213,0.000231213
89,856.294,0.63106,0.50323,0.86178,0.98174,1,0.995,0.52576,1.131,0.63436,0.86926,0.00021471,0.00021471,0.00021471
90,865.97,0.73244,0.60103,0.86207,0.88685,0.9,0.8832,0.52203,1.12436,0.63417,0.86755,0.000198206,0.000198206,0.000198206
91,875.581,0.56542,0.49112,0.8469,0.88766,0.9,0.87541,0.51272,1.13524,0.63354,0.87258,0.000181703,0.000181703,0.000181703
92,884.566,0.62331,0.5465,0.83545,0.88723,0.9,0.8754,0.50562,1.15452,0.63366,0.88126,0.0001652,0.0001652,0.0001652
93,894.28,0.5612,0.48645,0.83514,0.88577,0.9,0.8754,0.50309,1.15995,0.62701,0.88436,0.000148696,0.000148696,0.000148696
94,904.004,0.60929,0.53275,0.84407,0.88701,0.897,0.87539,0.50796,1.14036,0.61989,0.87944,0.000132193,0.000132193,0.000132193
95,913.75,0.54108,0.49335,0.83012,0.88735,0.89501,0.87538,0.51552,1.11586,0.61603,0.87033,0.00011569,0.00011569,0.00011569
96,922.577,0.5862,0.50373,0.83954,0.88716,0.89181,0.87536,0.52028,1.09785,0.61329,0.86473,9.91865e-05,9.91865e-05,9.91865e-05
97,931.505,0.61513,0.49445,0.83915,0.88755,0.89065,0.87535,0.52226,1.08826,0.61305,0.86035,8.26832e-05,8.26832e-05,8.26832e-05
98,940.68,0.57794,0.52801,0.85518,0.87978,0.88571,0.87507,0.52077,1.09776,0.61438,0.86229,6.61799e-05,6.61799e-05,6.61799e-05
99,949.951,0.62247,0.51726,0.85632,0.8729,0.88571,0.87506,0.51761,1.10971,0.61373,0.86466,4.96766e-05,4.96766e-05,4.96766e-05
100,958.771,0.5499,0.51889,0.84431,0.86617,0.88637,0.87505,0.51563,1.12214,0.61216,0.86702,3.31733e-05,3.31733e-05,3.31733e-05
